Name,Matches,Innings,Not_outs,Runs,Highest_score,Average,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,2022_Team,2023_Team,Country
Shubman Gill,17,17,2,890,129,59.33,564,157.8,3,4,1,85,33,Gujarat Titans,Gujarat Titans,India
Faf du Plessis,14,14,1,730,84,56.15,475,153.68,0,8,0,60,36,Royal Challengers Bangalore,Royal Challengers Bangalore,South Africa
Devon Conway,16,15,2,672,92*,51.69,481,139.7,0,6,1,77,18,Chennai Super Kings,Chennai Super Kings,New Zealand
Virat Kohli,14,14,2,639,101*,53.25,457,139.82,2,6,1,65,16,Royal Challengers Bangalore,Royal Challengers Bangalore,India
Yashasvi Jaiswal,14,14,1,625,124,48.07,382,163.61,1,5,1,82,26,Rajasthan Royals,Rajasthan Royals,India
Suryakumar Yadav,16,16,2,605,103*,43.21,334,181.13,1,5,1,65,28,Mumbai Indians,Mumbai Indians,India
Ruturaj Gaikwad,16,15,1,590,92,42.14,400,147.5,0,4,0,46,30,Chennai Super Kings,Chennai Super Kings,India
David Warner,14,14,0,516,86,36.85,392,131.63,0,6,2,69,10,Delhi Capitals,Delhi Capitals,Australia
Rinku Singh,14,14,6,474,67*,59.25,317,149.52,0,4,0,31,29,Kolkata Knight Riders,Kolkata Knight Riders,India
Ishan Kishan,16,15,0,454,75,30.26,318,142.76,0,3,0,54,18,Mumbai Indians,Mumbai Indians,India
Cameron Green,16,16,7,452,100*,50.22,282,160.28,1,2,0,40,22,Not in IPL,Mumbai Indians,Australia
Heinrich Klaasen,12,11,2,448,104,49.77,253,177.07,1,2,0,32,25,Not in IPL,Sunrisers Hyderabad,South Africa
Shivam Dube,16,14,3,418,52,38,264,158.33,0,3,0,12,35,Chennai Super Kings,Chennai Super Kings,India
Nitish Rana,14,14,1,413,75,31.76,293,140.95,0,3,0,39,20,Kolkata Knight Riders,Kolkata Knight Riders,India
Marcus Stoinis,15,15,2,408,89*,31.38,272,150,0,3,2,28,27,Lucknow Super Giants,Lucknow Super Giants,Australia
Venkatesh Iyer,14,14,0,404,104,28.85,277,145.84,1,2,1,32,21,Kolkata Knight Riders,Kolkata Knight Riders,India
Glenn Maxwell,14,14,2,400,77,33.33,218,183.48,0,5,2,29,31,Royal Challengers Bangalore,Royal Challengers Bangalore,Australia
Jos Buttler,14,14,0,392,95,28,282,139,0,4,5,42,14,Rajasthan Royals,Rajasthan Royals,England
Kyle Mayers,13,13,0,379,73,29.15,263,144.1,0,4,2,38,22,Not in IPL,Lucknow Super Giants,West Indies
Shikhar Dhawan,11,11,2,373,99*,41.44,261,142.91,0,3,1,49,12,Punjab Kings,Punjab Kings,India
Wriddhiman Saha,17,17,1,371,81,23.18,287,129.26,0,2,2,47,8,Gujarat Titans,Gujarat Titans,India
B. Sai Sudharsan,8,8,1,362,96,51.71,256,141.4,0,3,0,33,12,Gujarat Titans,Gujarat Titans,India
Sanju Samson,14,14,2,362,66*,30.16,236,153.38,0,3,2,25,24,Rajasthan Royals,Rajasthan Royals,India
Prabhsimran Singh,14,14,0,358,103,25.57,238,150.42,1,1,2,38,19,Punjab Kings,Punjab Kings,India
Nicholas Pooran,15,15,3,358,62,29.83,207,172.94,0,2,2,26,26,Sunrisers Hyderabad,Lucknow Super Giants,West Indies
Hardik Pandya,16,15,4,346,66,31.45,253,136.75,0,2,0,26,15,Gujarat Titans,Gujarat Titans,India
N. Tilak Varma,11,11,3,343,84*,42.87,209,164.11,0,1,0,26,23,Mumbai Indians,Mumbai Indians,India
Rohit Sharma,16,16,0,332,65,20.75,250,132.8,0,2,2,35,17,Mumbai Indians,Mumbai Indians,India
Ajinkya Rahane,14,11,1,326,71*,32.6,189,172.48,0,2,0,24,16,Kolkata Knight Riders,Chennai Super Kings,India
Mohit Sharma,14,14,1,309,49*,23.76,198,156.06,0,0,1,22,21,Not in IPL,Gujarat Titans,India
Vijay Shankar,14,10,2,301,63*,37.62,188,160.1,0,3,0,27,15,Gujarat Titans,Gujarat Titans,India
Shimron Hetmyer,14,13,5,299,56*,37.37,197,151.77,0,1,0,12,23,Rajasthan Royals,Rajasthan Royals,West Indies
Jason Roy,8,8,0,285,61,35.62,188,151.59,0,2,0,36,12,Not in IPL,Kolkata Knight Riders,England
Axar Patel,14,13,3,283,54,28.3,203,139.4,0,1,0,21,15,Delhi Capitals,Delhi Capitals,India
Liam Livingstone,9,9,1,279,94,34.87,171,163.15,0,2,0,20,19,Punjab Kings,Punjab Kings,England
Sam Curran,14,13,3,276,55,27.6,203,135.96,0,1,0,20,13,Not in IPL,Punjab Kings,England
K. L. Rahul,9,9,1,274,74,34.25,242,113.22,0,2,0,28,4,Lucknow Super Giants,Lucknow Super Giants,India
Rahul Tripathi,13,13,1,273,74*,22.75,213,128.16,0,1,1,29,10,Sunrisers Hyderabad,Sunrisers Hyderabad,India
